Titre,Localisation,Prix,Nombre_chambre,Nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
APPARTEMENT À LOUER SUR CASABLANCA FINANCE CITY,Casablanca,7600.0,2,1,90.0,Louer,Casablanca Finance City,1,1,-1 ans,https://www.avito.ma/fr/casablanca_finance_city/appartements/APPARTEMENT_%C3%80_LOUER_SUR_CASABLANCA_FINANCE_CITY__55494152.htm
Appartement à louer neuf,Temara,5500.0,2,2,94.0,Louer,Wifak,2,2,-1 ans,https://www.avito.ma/fr/wifak/appartements/Appartement_%C3%A0_louer_neuf__51601285.htm
très belle appartement à louer,Agadir,300.0,3,1,96.33530571992111,Louer,Hay Mohammadi,0,1,-1 ans,https://www.avito.ma/fr/hay_mohammadi/locations_de_vacances/tr%C3%A8s_belle_appartement_%C3%A0_louer__55609094.htm
appart meublé familiale sans intermédiaire Wi-Fi,Tanger,200.0,5,3,96.33530571992111,Louer,Marjane,0,1,-1 ans,https://www.avito.ma/fr/marjane/locations_de_vacances/appart_meubl%C3%A9_familiale_sans_interm%C3%A9diaire_Wi_Fi__54882865.htm
Appartement à vendre 121 m² à Casablanca,Casablanca,2250000.0,3,3,121.0,Vendre,Maârif Extension,1,3,6-10 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Casablanca_55223847.htm
Appartement à louer à Casablanca NearShore,Casablanca,3400.0,2,2,50.0,Louer,Al Mostakbal,1,3,-1 ans,https://www.avito.ma/fr/al_mostakbal/appartements/Appartement_%C3%A0_louer_%C3%A0_Casablanca_NearShore_55518646.htm
Superbe appartement neuf a les perles a Agdal,Rabat,8000.0,1,2,60.0,Louer,Agdal,1,7,-1 ans,https://www.avito.ma/fr/agdal/appartements/Superbe_appartement_neuf_a_les_perles_a__Agdal_55659766.htm
Appart 160m Meublé Luxe A Maarif Ex,Casablanca,2250000.0,3,2,160.0,Vendre,Maarif,1,3,1-5 ans,https://www.avito.ma/fr/maarif/appartements/Appart_160m_Meubl%C3%A9_Luxe_A_Maarif_Ex_55633668.htm
Appartement Vente Fourate,Casablanca,1550000.0,2,2,100.0,Vendre,Maarif,2,0,-1 ans,https://www.avito.ma/fr/maarif/appartements/Appartement_Vente_Fourate_53490060.htm
Appartement à louer 80 m² à Temara,Temara,3800.0,2,1,80.0,Louer,Riad Oulad Mtaa,1,2,-1 ans,https://www.avito.ma/fr/riad_oulad_mtaa/appartements/Appartement_%C3%A0_louer_80_m%C2%B2_%C3%A0_Temara_55738498.htm
MINI TRACTEUR CAPTAIN,Skhirat,830000.0,0,0,96.33530571992111,Avendre,Ain el Hayat,0,1,-1 ans,https://www.avito.ma/fr/ain_el_hayat/engins_agricoles/MINI_TRACTEUR_CAPTAIN__53709328.htm
Appart Duplex 140m Proche MC Donalds,Casablanca,4800.0,2,2,140.0,Louer,Sidi Maarouf,1,1,-1 ans,https://www.avito.ma/fr/sidi_maarouf/appartements/Appart_Duplex_140m_Proche_MC_Donalds__55645567.htm
Appartement à vendre,Casablanca,480000.0,2,1,60.0,Vendre,Oulfa,1,0,11-20 ans,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre__55738486.htm
